Name_of_player,Age,date_of_birth,Birth_place,Nationality,Role,Batting_style,bowlling_style,team,Debut_date,player_links,image_links
Rohit Kumar Paudel,23,2002-09-02,Nawalparasi,Nepali,Batting Allrounder,Right Hand Bat,Right Arm Off Break,"Nepal, Nepal Under 19",2018-02-01,https://cricketnepal.org.np/players/rohit-kumar-paudel/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/18-2.png"
Sandeep Lamichhane,0,,Syangja,Nepali,Blower,Right hand Bat,Legbreak Googly,"ICC World XI, Delhi Capitals, Melbourne Stars, Hobart Hurricanes, Montreal Tigers",,https://cricketnepal.org.np/players/sandeep-lamichhane/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_408,h_612/https://cricketnepal.org.np/wp-content/uploads/2024/10/Sandeep-Lamichhane.webp"
Kushal Bhurtel,28,1997-01-22,Rupendhehi,Nepali,Opening Batter,Right Hand Bat,Leg Break Googly,"Nepal, Nepal Under 19",2021-04-01,https://cricketnepal.org.np/players/kushal-bhurtel/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2023/09/10.png"
Aasif Sheikh,24,2001-06-22,Nationality,not-given,Wicket Keeper Batter,Right Hand Bat,Wicketkeeper,"Nepal, Nepal APF Club",2021-04-01,https://cricketnepal.org.np/players/aasif-sheikh/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/7-3.png"
Dipendra Singh Airee,25,2000-01-24,,Nepali,Middle Order Bater,Right Hand Bat,"Right Arm Medium, Right arm Off Breaker","Nepal, Gulf Giants, Montreal Tigers, Nepal Under 19",,https://cricketnepal.org.np/players/dipendra-singh-airee/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/6-2.png"
Kaaran Khatri Chhetri,34,1991-10-10,"Sigana, Bagung",Nepali,Allrounder,Right Hand Bat,Right Arm Fast,Nepal,2015-01-01,https://cricketnepal.org.np/players/karan-kc/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/8-2.png"
Sompal Kami,29,1996-02-02,Gulmi,Nepali,Batting Allrounder,Right Hand Bat,Right Arm Fast Medium,"Nepal, Nepal Under 19, Saracens Sport Club, Winnipeg Hawks",2014-01-01,https://cricketnepal.org.np/players/sompal-kami/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/22.png"
Bhim Sharki,24,2001-09-26,Kanchanpur,Nepali,Middle Order Bater,Right Hand Bat,Right Arm Blaster,"Nepal, Butwal Blaster, Chitwan Tigers, Nepal Under 19",,https://cricketnepal.org.np/players/bhim-sharki/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/1-3.png"
Kusal Malla,21,2004-03-05,,Nepali,Batting Allrounder,Left Hand Bat,Slow Left Arm Orthodox,"Nepal, Bhairahawa Gladiators, Nepal Under 19, Rupandehi Challengers",,https://cricketnepal.org.np/players/kushal-malla/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/12-2.png"
Gulshan Kumar Jha,19,2006-02-17,Sarlahi,Nepali,Bowler,Left Hand Bat,Right Arm Medium,"Nepal, Nepal Police Club, Nepal Under 19",2021-09-01,https://cricketnepal.org.np/players/gulshan-jha/,"https://sp-ao.shortpixel.ai/client/to_auto,q_lossless,ret_img,w_538,h_996/https://cricketnepal.org.np/wp-content/uploads/2024/02/2-1.png"
